,subject_id,condition,rep,mean_tonic_uS,mean_phasic_uS,scr_count,mean_scr_amp_uS,scr_peak_rate_per_min,phasic_auc_abs_uS_s
0,28949,ES,0,2.671201295308564,-0.0005031168244764963,21,0.13347536828870807,6.237865016437826,9.77688430366288
1,28949,ES,1,2.1405612923978254,-9.084504499141367e-05,14,0.02622279898293303,4.352155434122647,2.0830923339666905
2,28949,ES_empty,0,2.41771074081619,-0.00020438988198941932,7,0.07515594172710205,2.1651228352799032,8.659365955565455
3,28949,ES_empty,1,1.6864773971388778,-1.1251579233385038e-05,6,0.04613152066381396,1.8367713004484305,1.7001999800552787
4,28949,NE,0,2.520046153005267,-0.0004926073388181525,23,0.26518954646394766,6.133333333333334,19.410337549352498
5,28949,NE,1,2.747582995814535,0.00017531310621902128,12,0.12468081186183944,3.711265478707339,11.533369323104726
6,28949,NE_empty,0,2.529208426625842,0.002673197432883839,14,0.1881549581310974,4.158576677625217,13.776632878305133
7,28949,NE_empty,1,2.2412592527725423,-7.903368574749544e-05,11,0.025384052862960374,3.368085318449118,3.0581832405114313
8,48203,ES,0,3.166120093694531,0.0005644612849237907,26,0.0704131885877783,6.35417661097852,5.864886957739071
9,48203,ES,1,4.088256798405008,-0.0022903038202723843,12,0.16816420026692933,3.302633936570507,11.025073940241636
10,48203,ES_empty,0,4.212044478951261,1.0640358216891906e-05,27,0.20056989404818992,7.049464558898521,12.770554472005578
11,48203,ES_empty,1,3.887116707312107,-0.00020668042241886564,17,0.17536051725228852,4.857142857142857,10.08085787690845
12,48203,NE,0,3.6355531766306965,-6.913108224951843e-05,24,0.11274505667181041,7.103574525484151,7.398480203646524
13,48203,NE,1,3.6120434591439974,-0.00022415265224139772,23,0.0817417707211992,6.244454264250995,4.79815973466492
14,48203,NE_empty,0,3.7457471709997328,-0.00016315430513693782,12,0.2368768999511743,3.257976137870084,10.160745026856702
15,48203,NE_empty,1,3.6097632644625333,0.0005021666657005697,19,0.153840535736156,5.181818181818182,8.632943928206526
16,55131,ES,0,4.704294688086981,0.00014857379644347933,33,0.1388830129860677,8.389969378465613,10.671619614243063
17,55131,ES,1,8.870315747479582,0.0019682089514009163,25,0.3523872806750124,7.853563759075571,17.59676785194771
18,55131,ES_empty,0,8.555524309627922,0.0033804333679510272,27,0.3005017740887822,7.902439024390244,20.80247602597193
19,55131,ES_empty,1,8.430152952511916,-0.0003182035421508771,12,0.36714218088936307,3.7304189435336976,13.46490116656235
20,55131,NE,0,7.685967262518327,0.0007978309257787811,34,0.3074462662365518,9.532536278178332,23.390772056154265
21,55131,NE,1,8.958155414420252,-0.0012155008637855058,15,0.5296789800925,4.433753487924564,23.168952632889894
22,55131,NE_empty,0,8.761829166873408,0.0016657906603632484,21,0.4463679961023386,6.528893836656209,22.772688210510026
23,55131,NE_empty,1,9.69328191775978,-0.0010755840080605235,14,0.6709230547945326,4.3302456705598065,31.77320008245183
24,63264,ES,0,0.5061033445260608,-5.906621979431368e-06,24,0.004482308360962609,6.428459325137327,0.8265224197128451
25,63264,ES,1,0.8888185336867764,4.0333477390225124e-05,12,0.033389996263863096,3.445233644859813,1.4013807865368673
26,63264,ES_empty,0,0.7214976706401289,0.0001438626736002445,12,0.006664319337350497,3.3333936160593183,0.37349044731758974
27,63264,ES_empty,1,0.7422188731515739,3.918053695752957e-05,2,0.06008679732281362,0.6185442464512232,0.457944377686434
28,63264,NE,0,0.6142302645066507,1.1135353960294254e-05,13,0.014221857651809567,3.6285662365982194,0.751505278975765
29,63264,NE,1,0.9333353161074008,-9.706507338230585e-05,6,0.01812260918789344,1.7391960747310815,0.4762615463181076
30,63264,NE_empty,0,0.7524691446286088,-2.2650195425017523e-05,10,0.010822473541741078,2.765076507650765,0.42635060600255653
31,63264,NE_empty,1,0.7457053585058027,0.00018965158285854256,6,0.017057131712141026,1.79090555771473,0.4374968345545365
32,63817,ES,0,3.513381769274324,0.0009265194606962977,29,0.1116402360812705,9.300344503601629,9.467556807711908
33,63817,ES,1,4.819230918459553,-0.0007477723034134777,18,0.13353340698712615,6.75824981667074,7.805562612524952
34,63817,ES_empty,0,4.555335235150029,-0.00023659620133040316,15,0.14319321709300112,4.4842351109381084,8.372704072069245
35,63817,ES_empty,1,4.167741111373474,0.00012728765507681567,11,0.09254284845628193,3.258316459357825,3.9721857022559437
36,63817,NE,0,3.564069097865971,0.0009713893595696388,17,0.1360483835420622,4.858950502419055,10.005151305672172
37,63817,NE,1,4.423050669430523,-0.0006489280713433712,11,0.06857712308723991,3.3643966547192354,10.26961960824864
38,63817,NE_empty,0,4.785684006065782,-1.2430569043013688e-05,15,0.13818223042879513,4.761806344941614,9.05615247565901
39,63817,NE_empty,1,4.134627723883738,0.0013719791676416603,14,0.15837990451718684,4.021694408079297,8.63850915008614
40,67455,ES,0,6.22795486255894,-3.356441858173172e-05,38,0.010781061849355107,13.032935134531652,1.6339708726367879
41,67455,ES,1,4.628505501965522,-0.00012362391381458773,20,0.029058946802223325,5.8453049186566455,1.9341135392694084
42,67455,ES_empty,0,8.124128742224906,-5.072293277422362e-05,32,0.009346174783700778,12.549980850248946,1.0523950553378412
43,67455,ES_empty,1,4.536741118433487,-0.0010849132967841195,17,0.04542024327409172,6.020057636887608,2.5750181187917724
44,67455,NE,0,7.586716560873942,-0.0004844898480529246,12,0.10189205168031502,3.1368277739959156,4.3744574590370835
45,67455,NE,1,4.538305040576722,0.0002824087550308612,21,0.019713630353789046,6.453135940782234,1.4498656629912097
